idxPermID,@type,tr-common:hasPermId,hasOrganizationPrimaryQuote,hasPrimaryInstrument,mdaas:HeadquartersAddress,mdaas:RegisteredAddress,hasActivityStatus,tr-org:hasHeadquartersFaxNumber,tr-org:hasHeadquartersPhoneNumber,hasHoldingClassification,hasIPODate,tr-org:hasLEI,hasLatestOrganizationFoundedDate,hasPrimaryBusinessSector,hasPrimaryEconomicSector,hasPrimaryIndustryGroup,isIncorporatedIn,isDomiciledIn,hasURL,vcard:organization-name,tr-org:hasRegisteredFaxNumber,tr-org:hasRegisteredPhoneNumber,hasInactiveDate,tr-common:hasName,hasAssetClass,hasInstrumentStatus,hasPrimaryQuote,isIssuedBy
https://permid.org/1-5000066586,tr-org:Organization,5000066586,https://permid.org/1-55835022331,https://permid.org/1-8590013352,"601 Carlson Pkwy Ste 1400


MINNETONKA
MINNESOTA
55305-5222
","7 Saint Paul St Ste 820
BALTIMORE
MARYLAND
21202-1681
",tr-org:statusActive,12123643289,16126292500,tr-org:publiclyHeld,2009-10-29T04:00:00Z,549300ZUIBT6KH4HU823,2009-05-21T00:00:00Z,https://permid.org/1-4294952860,https://permid.org/1-4294952740,https://permid.org/1-4294952857,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,http://www.twoharborsinvestment.com/,Two Harbors Investment Corp,,,,,,,,
https://permid.org/1-5064616744,tr-org:Organization,5064616744,,,"United States
",,tr-org:statusActive,,,,,,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,Two Harbors Investments Corp,,,,,,,,
https://permid.org/1-5064585796,tr-org:Organization,5064585796,https://permid.org/1-25727399607,https://permid.org/1-25727399608,"499 Park Avenue
12Th Floor

NEW YORK
NEW YORK
10022
","Kingston Chambers, PO Box 173, Road Town
TORTOLA
British Virgin Islands
",tr-org:statusActive,,12124868100,tr-org:publiclyHeld,2018-06-28T04:00:00Z,,2018-02-23T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,http://sws.geonames.org/3577718/,http://sws.geonames.org/6252001/,https://hlacquisitions.com,HL Acquisitions Corp,,,,,,,,
https://permid.org/1-5037131769,tr-org:Organization,5037131769,https://permid.org/1-21504039323,https://permid.org/1-21482930384,"Olazbal 1150
BUENOS AIRES
BUENOS AIRES
1428
Argentina
","British Virgin Islands
",tr-org:statusActive,,5.41E+11,,,,,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,http://sws.geonames.org/3577718/,http://sws.geonames.org/3865483/,,BGS Acquisition Corp,,,,,,,,
https://permid.org/1-4296139768,tr-org:Organization,4296139768,https://permid.org/1-25727402027,https://permid.org/1-25727402028,"77 Water St Fl 8


NEW YORK
NEW YORK
10005-4418
","28 Old Rudnick Ln


DOVER
DELAWARE
19901-4912
",tr-org:statusActive,,16462297549,tr-org:publiclyHeld,2018-05-23T04:00:00Z,,2016-03-17T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,https://tridentacquisitions.com/,Trident Acquisitions Corp,13027365945,13027363466,,,,,,
https://permid.org/1-5057549580,tr-org:Organization,5057549580,,,"77 Water St Fl 8
NEW YORK
NEW YORK
10005-4418
","874 Walker Rd Ste C
DOVER
DELAWARE
19904-2778
",tr-org:statusActive,,16462297549,,,5493007X22HUUM7DN509,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,Trident Acquisitions Corp,,,,,,,,
https://permid.org/1-5064572742,tr-org:Organization,5064572742,https://permid.org/1-25727399843,https://permid.org/1-25727399844,"A M F Building
25-28 Old Burlington Street
LONDON
W1S 3AN
United Kingdom
","PO Box 309, Ugland House
GRAND CAYMAN
KY1-1104
Cayman Islands
",tr-org:statusActive,,4.42E+11,tr-org:publiclyHeld,2018-06-20T04:00:00Z,,2017-11-30T00:00:00Z,https://permid.org/1-4294952999,https://permid.org/1-4294952782,https://permid.org/1-4294952992,http://sws.geonames.org/3580718/,http://sws.geonames.org/2635167/,,Brooge Holdings Ltd,,,,,,,,
https://permid.org/1-5068934015,tr-org:Organization,5068934015,https://permid.org/1-25727367035,https://permid.org/1-25727367036,"135 E 57th St Fl 18


NEW YORK
NEW YORK
10022-2050
","1013 Centre Rd Ste 403-B
WILMINGTON
DELAWARE
19805-1270
",tr-org:statusActive,,16469487100,tr-org:publiclyHeld,2019-07-12T04:00:00Z,549300PT0K8ZAABWJU18,2019-03-05T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,,,,Tuscan Holdings Corp II,18458183588,13024977115,,,,,,
https://permid.org/1-5067935895,tr-org:Organization,5067935895,https://permid.org/1-25727377820,https://permid.org/1-25727377821,"135 E 57th St Fl 18


NEW YORK
NEW YORK
10022-2050
","1013 Centre Rd Ste 403-B
WILMINGTON
DELAWARE
19805-1270
",tr-org:statusActive,,19172086200,tr-org:publiclyHeld,2019-03-05T05:00:00Z,549300J4UX9OMHSTKS35,2018-11-05T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,Tuscan Holdings Corp,18458183588,13024977115,,,,,,
https://permid.org/1-5035483747,tr-org:Organization,5035483747,,,"Panama
",,tr-org:statusActive,,,,,,,,,,,http://sws.geonames.org/3703430/,,Leo Hldg (2008) Corp,,,,,,,,
