idxPermID,@type,tr-common:hasPermId,hasOrganizationPrimaryQuote,hasPrimaryInstrument,mdaas:HeadquartersAddress,mdaas:RegisteredAddress,hasActivityStatus,tr-org:hasHeadquartersPhoneNumber,hasHoldingClassification,hasIPODate,hasLatestOrganizationFoundedDate,hasPrimaryBusinessSector,hasPrimaryEconomicSector,hasPrimaryIndustryGroup,vcard:organization-name,tr-org:hasRegisteredFaxNumber,tr-org:hasRegisteredPhoneNumber,tr-common:hasName,hasAssetClass,hasInstrumentStatus,hasPrimaryQuote,isIssuedBy,tr-org:hasLEI,isIncorporatedIn,isDomiciledIn,hasURL,hasInactiveDate,tr-org:hasHeadquartersFaxNumber
https://permid.org/1-5068315017,tr-org:Organization,5068315017,https://permid.org/1-25727442568,https://permid.org/1-25727442569,"84 State Street


BOSTON
MASSACHUSETTS
02110-1727
","84 State Street


BOSTON
MASSACHUSETTS
02110-1727
",tr-org:statusActive,17029452700.0,tr-org:publiclyHeld,2016-11-14T05:00:00Z,2018-09-06T00:00:00Z,https://permid.org/1-4294952830,https://permid.org/1-4294952723,https://permid.org/1-4294952829,Gty Technology Holdings Inc,,,,,,,,,,,,,
https://permid.org/1-5076381223,tr-org:Organization,5076381223,https://permid.org/1-25727330997,https://permid.org/1-25727331000,"1980 Festival Plaza Drive Suite 300


LAS VEGAS
NEVADA
89135
","251 Little Falls Drive
New Castle County

WILMINGTON
DELAWARE
19808
",tr-org:statusActive,13109914982.0,,,2020-06-16T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Software Acquisition Group Inc II,13026365454.0,13026365400.0,,,,,,,,,,,
https://permid.org/1-5071160071,tr-org:Organization,5071160071,https://permid.org/1-25727361069,https://permid.org/1-25727361070,"100 Saint Paul St Ste 800


DENVER
COLORADO
80206-5144
","251 Little Falls Dr


WILMINGTON
DELAWARE
19808-1674
",tr-org:statusActive,17202846400.0,tr-org:publiclyHeld,2019-09-13T04:00:00Z,2019-05-24T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Experience Investment Corp,13026365454.0,13026365400.0,,,,,,,,,,,
https://permid.org/1-5071497036,tr-org:Organization,5071497036,https://permid.org/1-25727356758,https://permid.org/1-25727356759,"9261 Warbler Way


LOS ANGELES
CALIFORNIA
90069
","251 Little Falls Dr


WILMINGTON
DELAWARE
19808-1674
",tr-org:statusActive,13109914982.0,tr-org:publiclyHeld,2019-11-20T05:00:00Z,2019-05-09T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Software Acquisition Group Inc,13026365454.0,13026365400.0,,,,,,549300MSP5P41EYSIZ09,,,,,
https://permid.org/1-5037630430,tr-org:Organization,5037630430,https://permid.org/1-21514500380,https://permid.org/1-21486497214,"650 Sweet Bay Ave
PLANTATION
FLORIDA
33324-8276
","2215 Renaissance Dr Ste B
LAS VEGAS
NEVADA
89119-6727
",tr-org:statusActive,19544678170.0,,2012-11-19T05:00:00Z,2009-12-31T00:00:00Z,https://permid.org/1-4294952894,https://permid.org/1-4294952895,https://permid.org/1-4294952889,GSP-2 Inc,,,,,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,,
https://permid.org/1-5071525088,tr-org:Organization,5071525088,https://permid.org/1-25727356370,https://permid.org/1-25727356371,"25 Deforest Ave Ste 108


SUMMIT
NEW JERSEY
07901-2140
","Corporation Trust Center
1209 N Orange St
WILMINGTON
DELAWARE
19801-1120
",tr-org:statusActive,12125087090.0,tr-org:publiclyHeld,2019-11-22T05:00:00Z,2019-07-31T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,CHP Merger Corp,13026555049.0,13026587581.0,,,,,,,,,,,
https://permid.org/1-5052129731,tr-org:Organization,5052129731,https://permid.org/1-25727442568,https://permid.org/1-25727442569,"1180 N Town Center Dr Ste 100
LAS VEGAS
NEVADA
89144-6363
","Cayman Islands
",tr-org:statusActive,17029452700.0,,2016-11-14T05:00:00Z,2016-08-11T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,GTY Technology Holdings Inc,,,,,,,,,http://sws.geonames.org/3580718/,http://sws.geonames.org/6252001/,https://www.gtytechnology.com/,,
https://permid.org/1-5068933591,tr-org:Organization,5068933591,https://permid.org/1-25727367979,https://permid.org/1-25727367980,"1325 Avenue of the Americas Fl 25


NEW YORK
NEW YORK
10019-6026
","251 Little Falls Dr
WILMINGTON
DELAWARE
19808-1674
",tr-org:statusActive,12126163700.0,tr-org:publiclyHeld,2019-05-21T04:00:00Z,2018-08-24T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,GX Acquisition Corp,13026365454.0,13026365400.0,,,,,,,,,,,
https://permid.org/1-5056436950,tr-org:Organization,5056436950,https://permid.org/1-25727433535,https://permid.org/1-21617737729,"C/O Thomas H Lee Partners, L.P.
100 Federal Street, 35Th Floor
BOSTON
MASSACHUSETTS
02110
","251 Little Falls Dr
WILMINGTON
DELAWARE
19808-1674
",tr-org:statusActive,16172271050.0,,2017-07-19T04:00:00Z,2017-03-21T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Federal Street Acquisition Corp,13026365454.0,13026365400.0,,,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,,
https://permid.org/1-5071553026,tr-org:Organization,5071553026,https://permid.org/1-25727356192,https://permid.org/1-25727356194,"Torre Virreyes
Pedregal No. 24, Piso 6-601
Col. Molino del Rey
MEXICO, D.F.
MEXICO, D.F.
11040
Mexico
","Cayman Islands
",tr-org:statusActive,525511002470.0,tr-org:publiclyHeld,2019-12-11T05:00:00Z,2019-10-02T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,LIV Capital Acquisition Corp,,,,,,,,,http://sws.geonames.org/3580718/,http://sws.geonames.org/3996063/,,,
https://permid.org/1-5068658872,tr-org:Organization,5068658872,https://permid.org/1-25727368823,https://permid.org/1-25727368824,"2121 Avenue of the Stars Ste 2300
LOS ANGELES
CALIFORNIA
90067-5047
","251 Little Falls Dr
WILMINGTON
DELAWARE
19808-1674
",tr-org:statusInActive,13102097280.0,,2019-05-10T04:00:00Z,2019-03-27T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Diamond Eagle Acquisition Corp,13026365454.0,13026365400.0,,,,,,,,,,2020-04-24T00:00:00Z,
https://permid.org/1-5057950853,tr-org:Organization,5057950853,https://permid.org/1-25727415076,https://permid.org/1-25727415077,"2645 N Federal Hwy Ste 230


DELRAY BEACH
FLORIDA
33483-6111
","Corporation Trust Center
1209 Orange Street
New Castle County
WILMINGTON
DELAWARE
19801
",tr-org:statusActive,13107342300.0,tr-org:publiclyHeld,2017-11-20T05:00:00Z,2017-09-18T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Big Rock Partners Acquisition Corp,13026555049.0,13026587581.0,,,,,,5493003FN4CLS0670T77,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,,
